"Borowiec2015.Best108"	"Chang2015.Chang_AA"	"Dunn2008.Dunn2008_FixedNames"	"Hejnol2009.Hejnol_etal_2009_FixedNames"	"Laumer2018.Tplx_phylo_d1"	"Laumer2019.nonbilateria_MARE_BMGE"	"Moroz2014.ED3d"	"Nosenko2013.nonribosomal_9187_smatrix"	"Nosenko2013.ribosomal_14615_smatrix"	"Philippe2009.Philippe_etal_superalignment_FixedNames"	"Philippe2011.UPDUNN_MB_FixedNames"	"Pick2010.Pick2010"	"Ryan2013.REA_EST_includingXenoturbella"	"Simion2017.supermatrix_97sp_401632pos_1719genes"	"Whelan2015.Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned"	"Whelan2017.Metazoa_Choano_RCFV_strict"
NA	"Nanomia_bijuga"	"Platynereis_dumerilii"	"Hydractinia_echinata"	"PORI_Easp"	"PORI_Scoa"	NA	"Oscarel_lo"	"Oscarel_lo"	"Sphaeroforma_arctica"	"Mytilus_galloprovincialis"	"mertensiid"	"Podocoryna_carnea"	"Tribolium_castaneum"	"Petromyzon_marinus"	"Mertensiidae_sp_Antarctica"
NA	"Nasonia_vitripennis"	"Priapulus_caudatus"	"Hypsibius_dujardini"	"PORI_Ifas"	"PORI_Slac"	NA	"Oscarel_sp"	"Oscarel_sp"	"Spizellomyces_punctatus"	"Myzostoma_seymourcollegiorum"	"Metridium_"	"Porites_astreoides"	"Ixodes_scapularis"	"Petrosia_ficiformis"	"Mertensiidae_sp_Washington_USA"
NA	"Nematostella_vectensis"	"Ptychodera_flava"	"Lottia_gigantea"	"PORI_Lcom"	"PRIA_Pcau"	NA	"Pachydi_gl"	"Pachydi_gl"	"Strongylocentrotus_purpuratus"	"Nematostella_vectensis"	"Mnemiopsis"	"Ptychodera_flava"	"Branchiostoma_floridae"	"Physalia_physalis"	"Mnemiopsis_leidyi"
NA	"Octopus_vulgaris"	"Richtersius_coronifer"	"Lumbricus_rubellus"	"PORI_Ocar"	"XENO_XbJC"	NA	"Pedicel_ce"	"Pedicel_ce"	"Suberites_domuncula"	"Neochildia_fusca"	"Monosiga_b"	"Saccoglossus_kowalevskii"	"Homo_sapiens"	"Platygyra_carnosa"	"Monosiga_brevicolis"
NA	"Oscarella_carmela"	"Saccharomyces_cerevisiae"	"Macrostomum_lignano"	"PORI_Pfic"	NA	NA	"Pedicul_hu"	"Pedicul_hu"	"SyconXraphanus"	"Oscarella_carmela"	"Monosiga00"	"Salpingoeca_rosetta"	"Saccoglossus_kowalevskii"	"Pleurobrachia_atlantica"	"Monosiga_ovata"
NA	"Oscarella_sp_sn2011"	"Saccoglossus_kowalevskii"	"Meara_stichopi"	"PORI_Scil"	NA	NA	"Petromy_ma"	"Petromy_ma"	"Trichoplax_adhaerens"	"Paraplanocera_sp"	"Montastrae"	"Schmidtea_mediterranea"	"Strongylocentrotus_purpuratus"	"Pleurobrachia_bachei"	"Mycale_phylophylla"
NA	"Patiria_miniata"	"Schmidtea_mediterranea"	"Mertensiid_sp"	"PORI_Scoa"	NA	NA	"Phycomy_bl"	"Phycomy_bl"	"TubifexXtubifex"	"Pedicellina_cernua"	"Mytilus_ga"	"Strongylocentrotus_purpuratus"	"Trichoplax_adhaerens"	"Priapulus_caudatus"	"Nanomia_bijuga"
NA	"Pediculus_humanus_corporis"	"Scutigera_coleoptrata"	"Mnemiopsis_leidyi"	"PORI_Slac"	NA	NA	"Pleurob_pi"	"Pleurob_pi"	"Xenoturbella_bocki"	"Philodina_roseola"	"Nematostel"	"Suberites_domuncula"	"Amphimedon_queenslandica"	"Pseudospongosorites_suberitoides"	"Nematostella_vectensis"
NA	"Petromyzon_marinus"	"Sphaeroforma_arctica"	"Monosiga_brevicollis"	"PORI_Snux"	NA	NA	"Podocor_ca"	"Podocor_ca"	NA	"Phoronis_vancouverensis"	"Oopsacas_m"	"Sycon_raphanus"	"Petrosia_ficiformis"	"Rhizopus_oryzae"	"Ocyropsis_crystallina"
NA	"Petrosia_ficiformis"	"Spinochordodes_tellinii"	"Monosiga_ovata"	"PRIA_Pcau"	NA	NA	"Porites___"	"Porites___"	NA	"Platynereis_dumerilii"	"Oscarell00"	"Symsagittifera_roscoffensis"	"Ephydatia_muelleri"	"Rossella_fibulata"	"Ocyropsis_sp_Bimini_Bahamas"
