"clade","gene_tree","num_clade_tips","clade_relationship","clade_length","branch_length_to_clade","max_branching_time_for_ultrametric_clade","outgroup"
"Outgroup",2,"4","monophyletic","1.3735253867","0.1043848186","0.4575731527","Drosophila_melanogaster"
"Outgroup",3,"5","monophyletic","1.2659928721","0.0880716527","0.5055354145","Drosophila_melanogaster"
"Outgroup",4,"3","monophyletic","1.8990944329","0.2411137186","0.709203124","Drosophila_melanogaster"
"Outgroup",5,"5","monophyletic","1.4728310431","0.3418353656","0.5148062407","Drosophila_melanogaster"
"Outgroup",8,"4","monophyletic","2.0700481424","2.2029e-06","1.7774301395","Drosophila_melanogaster"
"Outgroup",10,"5","monophyletic","2.2679736856","0.208852092","0.6844952195","Drosophila_melanogaster"
"Outgroup",11,"4","monophyletic","2.6512350531","0.159896747","0.8719840305","Drosophila_melanogaster"
"Outgroup",12,"3","monophyletic","4.860148218","0.8360884543","1.961740901","Drosophila_melanogaster"
"Outgroup",14,"5","monophyletic","2.5905213203","0.2415320023","0.6355432916","Drosophila_melanogaster"
"Outgroup",17,"5","monophyletic","1.5700871826","0.0377834926","0.8897818095","Drosophila_melanogaster"
"Outgroup",18,"3","monophyletic","1.8686780907","0.2320362487","0.7489687542","Drosophila_melanogaster"
"Outgroup",19,"5","monophyletic","9.2985719492","0.4848525394","2.4524439472","Drosophila_melanogaster"
"Outgroup",21,"4","monophyletic","5.514199039","0.4278759233","2.2968038411","Drosophila_melanogaster"
"Outgroup",22,"3","monophyletic","1.6247405441","0.3890163945","0.7978394836","Drosophila_melanogaster"
"Outgroup",23,"5","monophyletic","3.9835464714","0.2255141193","1.0499648094","Drosophila_melanogaster"
"Outgroup",24,"5","monophyletic","2.1012075971","0.1948947198","0.6393992535","Drosophila_melanogaster"
"Outgroup",25,"2","monophyletic","2.6434309775","1.1232082184","1.4562083718","Drosophila_melanogaster"
"Outgroup",27,"4","monophyletic","4.6377644013","1.0185634083","1.7651301653","Drosophila_melanogaster"
"Outgroup",28,"4","monophyletic","2.0505372685","0.3622890132","0.8104779262","Drosophila_melanogaster"
"Outgroup",31,"5","monophyletic","1.3769079197","0.0924995577","0.454971907","Drosophila_melanogaster"
"Outgroup",32,"3","monophyletic","1.1409011489","0.231965504","0.4710950545","Drosophila_melanogaster"
"Outgroup",33,"4","monophyletic","1.8836298252","0.1276143782","1.1291092427","Drosophila_melanogaster"
"Outgroup",34,"4","monophyletic","4.3710392707","0.223460903","1.3757041093","Drosophila_melanogaster"
"Outgroup",35,"4","monophyletic","5.9407574352","0.3064057054","1.883125739","Drosophila_melanogaster"
